County_State	County_Name	Non-Commercial -Civil Public Use Airports and Seaplane base	Non-Commercial -Other Aerodromes	Number of Bridges	Number of business establishments	Number of resident workers who commute to work in other countie	Number of resident workers who commute within county	Number of resident workers who work at home	Number of resident workers	Number of residents	Number of workers from other counties who commute to work in th	Pct of Medium to Fair Condition Bridges	Pct of Poor Condition Bridges	Percent of resident workers who commute by transit	Primary and Commercial Airports	Route miles of freight railroad	Route miles of passenger railroad and rail transit	State_Name	Total Docks	Total Marinas
Lee County, Iowa	Lee County	2	1	218	875	2676	12925	455	16085	35170	3150	0.876146789	0.123853211	0.004351881	0	61	19.8	Iowa	6	0
Linn County, Iowa	Linn County	1	3	485	5596	10492	103010	3910	114085	218075	11092	0.956701031	0.043298969	0.009142306	1	105.5	0	Iowa		
Louisa County, Iowa	Louisa County			150	211	2627	2755	285	5400	11250	2649	0.886666667	0.113333333	0.000740741		19.4	0	Iowa		
Lucas County, Iowa	Lucas County	1	2	195	183	1057	3060	235	4135	8700	1075	0.671794872	0.328205128	0.004836759	0	51.5	31.1	Iowa		
Lyon County, Iowa	Lyon County	1	2	278	401	1086	3700	385	5865	11730	2164	0.78057554	0.21942446	0.000682012	0	21.6	0	Iowa		
Madison County, Iowa	Madison County	1	0	225	405	4458	3335	505	7800	15660	4472	0.626666667	0.373333333	0.002435897	0	8.4	0	Iowa		
Mahaska County, Iowa	Mahaska County	1	3	235	556	4026	6730	490	10805	22325	4092	0.676595745	0.323404255	0.007866728	0	25.5	0	Iowa		
Marion County, Iowa	Marion County	2	2	224	833	3638	13070	970	16820	33195	3750	0.772321429	0.227678571	0.002913199	0	55.2	0	Iowa		
Marshall County, Iowa	Marshall County	1	1	312	789	3341	15615	745	19015	40735	3379	0.666666667	0.333333333	0.002892453	0	40.1	0	Iowa		
Mills County, Iowa	Mills County			183	310	2047	3195	320	7205	14840	4011	0.803278689	0.196721311	0.024149896		47	27.9	Iowa		
Mitchell County, Iowa	Mitchell County	1	0	167	308	901	3750	455	5110	10755	1367	0.838323353	0.161676647	0.000782779	0	38.4	0	Iowa		
Monona County, Iowa	Monona County	1	2	169	232	1427	2625	225	4190	9015	1573	0.692307692	0.307692308	0	0	25.8	0	Iowa		
Monroe County, Iowa	Monroe County	1	1	140	183	1384	2195	205	3605	7965	1412	0.721428571	0.278571429	0.00110957	0	78.5	39.6	Iowa		
Montgomery County, Iowa	Montgomery County	1	2	216	310	839	3565	270	4620	10380	1072	0.736111111	0.263888889	0.004329004	0	35.5	25.8	Iowa		
Muscatine County, Iowa	Muscatine County	1	2	146	950	4017	16565	880	20995	42950	4438	0.787671233	0.212328767	0.003572279	0	56.6	0	Iowa	2	0
O'Brien County, Iowa	O'Brien County	3	1	268	508	2104	4900	440	7115	14055	2218	0.992537313	0.007462687	0.026704146	0	30.6	0	Iowa		
Osceola County, Iowa	Osceola County	1	1	185	197	841	2030	165	3230	6155	1205	0.913513514	0.086486486	0.00123839	0	18.1	0	Iowa		
Page County, Iowa	Page County	1	1	199	402	1043	5905	245	7065	15550	1158	0.698492462	0.301507538	0.000566171	0	11	0	Iowa		
Palo Alto County, Iowa	Palo Alto County	1	1	136	294	1242	3325	115	4640	9155	1315	0.838235294	0.161764706	0.003017241	0	54.4	0	Iowa		
Plymouth County, Iowa	Plymouth County	1	1	456	710	3487	8475	720	12675	24970	4204	0.752192982	0.247807018	0.001183432	0	86.4	0	Iowa		
Pocahontas County, Iowa	Pocahontas County	1	0	208	218	955	2425	270	3400	7060	969	0.754807692	0.245192308	0.004117647	0	43.4	0	Iowa		
Polk County, Iowa	Polk County	1	8	537	12995	23198	215615	8740	240250	459160	24629	0.934823091	0.065176909	0.013290323	1	125.3	0	Iowa		
Pottawattamie County, Iowa	Pottawattamie County	1	5	565	1980	1705	24785	1375	46100	93200	21303	0.877876106	0.122123894	0.008655098	0	137.5	0	Iowa		
Poweshiek County, Iowa	Poweshiek County	1	3	270	544	1707	7690	610	9445	18620	1753	0.674074074	0.325925926	0.002117522	0	48.6	0	Iowa		
Ringgold County, Iowa	Ringgold County	1	0	231	140	558	1470	140	2070	5055	611	0.545454545	0.454545455	0	0			Iowa		
Sac County, Iowa	Sac County	1	1	234	333	1715	3170	225	4905	10035	1747	0.717948718	0.282051282	0.000815494	0	34.9	0	Iowa		
Scott County, Iowa	Scott County	1	4	288	4475	4104	60565	3320	82185	171115	21621	0.888888889	0.111111111	0.008213178	0	63.2	0	Iowa	11	0
Shelby County, Iowa	Shelby County	1	1	219	394	1296	4340	370	6005	11945	1665	0.863013699	0.136986301	0.004995837	0	24.2	0	Iowa		
Sioux County, Iowa	Sioux County	3	2	448	1305	1421	16770	2015	18550	34620	1777	0.966517857	0.033482143	0.003989218	0	66.9	0	Iowa		
Story County, Iowa	Story County	1	1	291	2107	8353	40905	2350	49845	94835	8976	0.828178694	0.171821306	0.056876317	0	69.6	0	Iowa		
Tama County, Iowa	Tama County	2	1	346	313	3566	4550	300	8130	17425	3580	0.656069364	0.343930636	0.000492005	0	25.2	0	Iowa		
Taylor County, Iowa	Taylor County	1	0	246	140	1195	1600	120	2995	6210	1414	0.585365854	0.414634146	0	0			Iowa		
Union County, Iowa	Union County	1	2	187	332	1079	5130	250	6275	12540	1143	0.673796791	0.326203209	0.003984064	0	24.8	24.8	Iowa		
Van Buren County, Iowa	Van Buren County	1	1	161	154	1512	1750	160	3300	7380	1579	0.677018634	0.322981366	0.015151515	0			Iowa		
Wapello County, Iowa	Wapello County	1	2	202	748	2631	13150	520	15890	35240	2750	0.747524752	0.252475248	0.004405286	0	61.2	26.4	Iowa		
Warren County, Iowa	Warren County	0	6	254	886	15755	8785	1245	24730	48170	15947	0.708661417	0.291338583	0.002426203	0	15.1	0	Iowa		
Washington County, Iowa	Washington County	1	2	214	686	4494	6430	490	11010	22115	4585	0.822429907	0.177570093	0.005449591	0	25.5	0	Iowa		
Wayne County, Iowa	Wayne County	0	5	163	158	831	1780	185	2725	6405	953	0.779141104	0.220858896	0.005504587	0	43.1	0	Iowa		
Webster County, Iowa	Webster County	0	1	218	1026	2048	14265	775	16365	37050	2117	0.76146789	0.23853211	0.003971891	1	99.4	0	Iowa		
Winnebago County, Iowa	Winnebago County	1	1	77	319	1481	3345	245	5080	10580	1741	0.662337662	0.337662338	0	0	16.6	0	Iowa		
Winneshiek County, Iowa	Winneshiek County	1	1	351	640	1427	9980	1035	11920	20790	1955	0.780626781	0.219373219	0.000838926	0	29.6	0	Iowa		
Woodbury County, Iowa	Woodbury County	0	5	462	2639	2826	38820	2005	51200	102425	12365	0.787878788	0.212121212	0.009863281	1	62.2	0	Iowa	1	0
Worth County, Iowa	Worth County	1	0	114	186	2082	1390	165	3700	7560	2326	0.868421053	0.131578947	0.005405405	0	45.4	0	Iowa		
Wright County, Iowa	Wright County	3	1	192	374	1210	4465	230	5705	12890	1242	0.729166667	0.270833333	0.002629273	0	69.4	0	Iowa		
Allen County, Kansas	Allen County	1	1	228	379	1074	4655	165	5770	12950	1125	0.872807018	0.127192982	0.009532062	0	27.1	0	Kansas		
Anderson County, Kansas	Anderson County	1	2	143	201	1555	1945	160	3605	7860	1663	0.965034965	0.034965035	0	0	39.3	0	Kansas		
Atchison County, Kansas	Atchison County	1	2	201	354	1148	5695	470	7495	16555	1801	0.885572139	0.114427861	0.001067378	0	34	0	Kansas	0	0
Barber County, Kansas	Barber County	1	3	240	206	440	1730	80	2280	4830	559	0.991666667	0.008333333	0.001754386	0	32.9	0	Kansas		
Barton County, Kansas	Barton County	2	1	447	959	1504	11730	395	13310	27215	1581	0.995525727	0.004474273	0.003005259	0	83.4	0	Kansas		
Bourbon County, Kansas	Bourbon County	1	2	204	355	686	5465	365	6555	14750	1106	0.848039216	0.151960784	0.001525553	0	42.1	0	Kansas		
Brown County, Kansas	Brown County	3	2	257	274	961	3370	305	4550	9810	1178	0.945525292	0.054474708	0.000879121	0	57.5	0	Kansas		
Butler County, Kansas	Butler County	2	15	590	1348	15477	15155	1250	30930	66265	15797	0.933898305	0.066101695	0.000323311	0	91.9	0	Kansas		
Chase County, Kansas	Chase County	1	3	186	66	450	700	70	1165	2695	473	0.946236559	0.053763441	0.008583691	0	56	30.4	Kansas		
Chautauqua County, Kansas	Chautauqua County	0	1	133	61	426	930	60	1480	3470	548	0.902255639	0.097744361	0.002702703	0			Kansas		
Cherokee County, Kansas	Cherokee County	1	1	309	323	1159	4545	260	8905	20735	4355	0.928802589	0.071197411	0.000449186	0	71.3	0	Kansas		
Cheyenne County, Kansas	Cheyenne County	1	2	100	108	135	1050	75	1235	2680	182	0.91	0.09	0	0	21.4	0	Kansas		
Clark County, Kansas	Clark County	1	3	105	59	296	670	30	980	2130	312	0.971428571	0.028571429	0	0	9.9	0	Kansas		
Clay County, Kansas	Clay County	1	1	227	258	1155	2995	320	4175	8345	1191	0.942731278	0.057268722	0.000958084	0	10.7	0	Kansas		
Cloud County, Kansas	Cloud County	1	1	316	293	880	3540	230	4445	9300	913	0.949367089	0.050632911	0.004499438	0	65.1	0	Kansas		
Coffey County, Kansas	Coffey County	1	1	304	229	970	2990	170	4015	8435	1025	0.983552632	0.016447368	0.003486924	0	31.6	0	Kansas		
Comanche County, Kansas	Comanche County	1	0	111	71	146	795	50	965	1900	169	1	0	0	0			Kansas		
Cowley County, Kansas	Cowley County	2	4	337	739	2017	12480	575	15425	35975	2956	0.949554896	0.050445104	0	0	88.7	0	Kansas		
Crawford County, Kansas	Crawford County	1	4	294	932	1877	15400	455	18420	39280	3020	0.918367347	0.081632653	0.002714441	0	61	0	Kansas		
Decatur County, Kansas	Decatur County	1	1	162	105	189	1025	120	1340	2885	321	0.913580247	0.086419753	0	0	56	0	Kansas		
Dickinson County, Kansas	Dickinson County	1	3	379	445	3070	5810	350	8970	19385	3129	0.941952507	0.058047493	0.002229654	0	96.6	5.7	Kansas		
Doniphan County, Kansas	Doniphan County	0	3	127	164	430	1775	240	3780	7795	2035	0.913385827	0.086614173	0.002645503	0	0.7	0	Kansas		
Douglas County, Kansas	Douglas County	1	9	298	2727	14348	45730	2530	62115	116350	16374	1	0	0.019640988	0	29.5	21.3	Kansas		
Edwards County, Kansas	Edwards County	1	0	68	79	474	930	85	1415	2975	490	0.970588235	0.029411765	0	0	30.3	30.3	Kansas		
Elk County, Kansas	Elk County	1	0	156	69	382	610	95	1010	2635	419	0.916666667	0.083333333	0	0	34.1	0	Kansas		
Ellis County, Kansas	Ellis County	0	3	280	1111	1002	14820	530	15840	29030	1010	0.978571429	0.021428571	0.003156566	1	31.5	0	Kansas		
Ellsworth County, Kansas	Ellsworth County	1	1	253	177	546	2145	125	2685	6375	566	0.992094862	0.007905138	0.005214153	0	35.4	0	Kansas		
Finney County, Kansas	Finney County	0	1	78	990	1130	16695	550	17985	36985	1293	1	0	0.007784265	1	61.5	25.7	Kansas		
Ford County, Kansas	Ford County	0	1	220	777	818	15170	335	16145	34490	978	0.986363636	0.013636364	0.004645401	1	74.6	38.3	Kansas		
Franklin County, Kansas	Franklin County	1	7	328	582	4716	7285	535	12310	25665	5032	0.969512195	0.030487805	0.006092608	0	32	0	Kansas		
Geary County, Kansas	Geary County	1	1	144	557	3263	13955	535	17360	36820	3392	0.944444444	0.055555556	0.002016129	0	15.7	0	Kansas		
Gove County, Kansas	Gove County	0	4	109	128	203	1110	155	1305	2680	207	1	0	0	0	36.8	0	Kansas		
Graham County, Kansas	Graham County	1	0	143	94	186	1025	110	1210	2575	186	0.916083916	0.083916084	0.003305785	0			Kansas		
Grant County, Kansas	Grant County	1	0	16	213	484	3085	260	3590	7750	509	1	0	0	0	28.3	0	Kansas		
Gray County, Kansas	Gray County	3	1	68	227	912	2125	165	3040	6035	916	1	0	0	0	50.7	25.4	Kansas		
Greeley County, Kansas	Greeley County	1	0	33	41	53	515	50	575	1235	61	1	0	0	0	25.9	0	Kansas		
Greenwood County, Kansas	Greenwood County	1	3	237	184	958	1780	120	2770	6305	1011	0.831223629	0.168776371	0.001444043	0			Kansas		
Hamilton County, Kansas	Hamilton County	1	0	66	68	165	1080	140	1275	2565	203	0.984848485	0.015151515	0	0	28.4	28.4	Kansas		
Harper County, Kansas	Harper County	2	6	386	207	385	2195	70	2645	5800	458	0.935233161	0.064766839	0.001512287	0	41.8	0	Kansas		
Harvey County, Kansas	Harvey County	1	4	372	760	5479	10910	735	16445	34815	5541	0.919354839	0.080645161	0.002067498	0	62.6	33.9	Kansas		
Haskell County, Kansas	Haskell County	2	1	17	120	392	1500	85	1905	4085	402	1	0	0	0	33.1	0	Kansas		
Hodgeman County, Kansas	Hodgeman County	1	0	110	49	292	700	45	1000	1920	296	0.990909091	0.009090909	0	0	8.7	0	Kansas		
Jackson County, Kansas	Jackson County	0	2	244	255	3256	2935	270	6250	13365	3325	0.967213115	0.032786885	0.0024	0	7.8	0	Kansas		
Jefferson County, Kansas	Jefferson County	0	6	189	323	5680	2965	295	8905	18880	5932	0.931216931	0.068783069	0.00381808	0	21.5	0	Kansas		
Jewell County, Kansas	Jewell County	1	2	333	77	374	840	90	1315	3005	486	0.876876877	0.123123123	0	0	46.8	0	Kansas		
Johnson County, Kansas	Johnson County	3	6	751	17992	28489	211085	16995	300970	572430	89772	0.99334221	0.00665779	0.003787753	0	87.1	17.9	Kansas		
Kearny County, Kansas	Kearny County	1	2	74	83	643	1100	100	1750	3945	651	1	0	0.002285714	0	26.3	26.3	Kansas		
Kingman County, Kansas	Kingman County	2	1	392	215	1377	2185	220	3595	7695	1419	0.977040816	0.022959184	0	0	91.2	0	Kansas		
Kiowa County, Kansas	Kiowa County	1	1	90	92	188	1065	80	1250	2520	196	1	0	0	0	29.8	0	Kansas		
Labette County, Kansas	Labette County	1	4	349	455	1252	7800	265	9340	20835	1536	0.945558739	0.054441261	0.002141328	0	59.9	0	Kansas		
Lane County, Kansas	Lane County	1	1	25	67	132	720	35	850	1685	136	1	0	0	0	28.3	0	Kansas		
Leavenworth County, Kansas	Leavenworth County	0	11	240	1263	10618	20450	985	34740	78785	14265	0.983333333	0.016666667	0.001727116	0	34.3	0	Kansas		
Lincoln County, Kansas	Lincoln County	1	2	238	86	429	1005	75	1450	3135	445	0.903361345	0.096638655	0.013793103	0	35.9	0	Kansas		
Linn County, Kansas	Linn County	1	2	253	199	1840	1785	165	3960	9525	2163	0.976284585	0.023715415	0.003535354	0	46.4	0	Kansas		
Logan County, Kansas	Logan County	1	1	55	112	391	950	80	1340	2800	391	0.981818182	0.018181818	0	0	40	0	Kansas		
Lyon County, Kansas	Lyon County	1	1	490	851	1862	14645	470	16595	33400	1979	0.975510204	0.024489796	0.006628503	0	37.1	25	Kansas		
Marion County, Kansas	Marion County	2	1	328	287	1866	3655	315	5570	12215	1908	0.87804878	0.12195122	0	0	90.1	19.5	Kansas		
Marshall County, Kansas	Marshall County	1	0	402	364	623	4140	210	4895	9965	751	0.880597015	0.119402985	0.009193054	0	69.9	0	Kansas		
McPherson County, Kansas	McPherson County	2	2	581	907	2405	13015	510	15485	29165	2476	0.984509466	0.015490534	0.000645786	0	60	0	Kansas		
Meade County, Kansas	Meade County	2	3	85	128	440	1635	155	2080	4310	448	0.988235294	0.011764706	0	0	33.7	0	Kansas		
Miami County, Kansas	Miami County	1	8	326	733	8633	5970	815	15865	32785	9860	0.935582822	0.064417178	0.001260637	0	73.8	0	Kansas		
Mitchell County, Kansas	Mitchell County	1	1	262	255	237	2705	85	2945	6300	245	0.961832061	0.038167939	0.003395586	0	56.6	0	Kansas		
Montgomery County, Kansas	Montgomery County	2	5	321	779	1229	12100	270	14245	33765	2148	0.943925234	0.056074766	0.000702001	0	102.9	0	Kansas		
Morris County, Kansas	Morris County	2	0	184	131	1017	1695	205	2750	5695	1056	0.89673913	0.10326087	0	0	25.9	0	Kansas		
Morton County, Kansas	Morton County	1	0	17	82	175	970	95	1340	3035	373	1	0	0	0	21.8	0	Kansas		
Nemaha County, Kansas	Nemaha County	1	2	357	368	1102	3990	215	5175	10175	1184	0.915966387	0.084033613	0.004637681	0	27.7	0	Kansas		
Neosho County, Kansas	Neosho County	1	5	243	445	1927	5715	175	7690	16360	1988	0.942386831	0.057613169	0.00130039	0	51.3	0	Kansas		
Ness County, Kansas	Ness County	1	0	170	138	109	1355	105	1470	3045	109	0.935294118	0.064705882	0.002721088	0	36.4	0	Kansas		
Norton County, Kansas	Norton County	2	0	248	185	304	2235	125	2610	5560	373	0.97983871	0.02016129	0	0	49.3	0	Kansas		
Osage County, Kansas	Osage County	1	2	306	242	4440	2465	275	7035	16000	4586	0.934640523	0.065359477	0.000568586	0	60.6	32.3	Kansas		
Osborne County, Kansas	Osborne County	1	1	242	144	392	1375	85	1765	3745	404	0.91322314	0.08677686	0	0	28.5	0	Kansas		
Ottawa County, Kansas	Ottawa County	1	2	297	137	1627	1305	230	2950	6005	1649	0.956228956	0.043771044	0.001355932	0	35	0	Kansas		
Pawnee County, Kansas	Pawnee County	1	1	165	149	272	2655	75	2920	6840	276	0.987878788	0.012121212	0	0	44.5	0	Kansas		
Phillips County, Kansas	Phillips County	1	2	258	233	439	2290	165	2765	5485	491	0.84496124	0.15503876	0.001446655	0	41.2	0	Kansas		
Pottawatomie County, Kansas	Pottawatomie County	2	5	304	618	5343	5445	400	10865	22920	5442	0.930921053	0.069078947	0.000920387	0	62.1	0	Kansas		
Pratt County, Kansas	Pratt County	1	1	116	380	566	3835	120	4450	9730	613	0.99137931	0.00862069	0.000898876	0	62.6	0	Kansas		
Rawlins County, Kansas	Rawlins County	1	2	107	106	128	1020	160	1175	2555	163	0.85046729	0.14953271	0	0	38.3	0	Kansas		
Reno County, Kansas	Reno County	1	5	559	1622	3779	24785	1080	28800	63805	3999	0.976744186	0.023255814	0.005902778	0	131.5	44.1	Kansas		
Republic County, Kansas	Republic County	1	1	273	173	387	1885	220	2415	4770	564	0.941391941	0.058608059	0.001656315	0	40.8	0	Kansas		
Rice County, Kansas	Rice County	1	0	253	268	1234	3485	140	4735	9950	1264	0.972332016	0.027667984	0.002956705	0	76	0	Kansas		
Riley County, Kansas	Riley County	0	5	216	1606	11456	28675	2640	40445	75025	11704	0.921296296	0.078703704	0.003585116	1	14.5	0	Kansas		
Rooks County, Kansas	Rooks County	1	0	170	186	450	2090	130	2525	5160	450	0.970588235	0.029411765	0	0			Kansas		
Rush County, Kansas	Rush County	1	0	168	96	589	870	115	1475	3145	605	0.970238095	0.029761905	0	0	60.5	0	Kansas		
Russell County, Kansas	Russell County	2	1	266	249	819	2610	130	3415	6990	819	0.992481203	0.007518797	0.001171303	0	32.6	0	Kansas		
Saline County, Kansas	Saline County	0	5	380	1527	2438	25250	825	27915	55545	2678	0.989473684	0.010526316	0.005695862	1	68.4	0	Kansas		
Scott County, Kansas	Scott County	1	1	23	198	350	2120	65	2470	4960	350	1	0	0	0	42.1	0	Kansas		
Sedgwick County, Kansas	Sedgwick County	1	29	1310	12225	11634	227245	7800	240605	508220	13246	0.954961832	0.045038168	0.005590075	1	140.2	0	Kansas		
Seward County, Kansas	Seward County	0	0	13	558	317	9570	355	10680	23185	1099	1	0	0.002340824	1	26.2	0	Kansas		
Shawnee County, Kansas	Shawnee County	2	6	556	4193	5807	76635	2415	83345	178565	6721	0.96942446	0.03057554	0.009718639	0	80.4	27.9	Kansas		
Sheridan County, Kansas	Sheridan County	1	1	120	110	235	1025	80	1255	2520	247	0.858333333	0.141666667	0	0	12.5	0	Kansas		
Sherman County, Kansas	Sherman County	1	0	106	250	230	2420	155	2825	6040	404	0.952830189	0.047169811	0	0	35.1	0	Kansas		
Smith County, Kansas	Smith County	1	0	290	136	253	1485	160	1755	3700	275	0.868965517	0.131034483	0	0	30.9	0	Kansas		
Stafford County, Kansas	Stafford County	1	1	120	128	635	1370	130	2010	4285	661	0.991666667	0.008333333	0	0	30.4	30.4	Kansas		
Stanton County, Kansas	Stanton County	1	1	21	65	114	965	55	1100	2115	132	1	0	0.013636364	0	29.4	0	Kansas		
Stevens County, Kansas	Stevens County	1	1	3	138	452	2065	100	2585	5740	512	1	0	0	0	31.1	0	Kansas		
Sumner County, Kansas	Sumner County	3	5	668	478	4460	5830	515	10575	23510	4749	0.989520958	0.010479042	0.002364066	0	124.3	0	Kansas		
Thomas County, Kansas	Thomas County	1	0	82	339	532	3775	200	4325	7910	552	0.987804878	0.012195122	0.000924855	0	58	0	Kansas		
Trego County, Kansas	Trego County	1	0	169	123	348	1300	100	1650	2925	348	0.940828402	0.059171598	0	0	32.7	0	Kansas		
Wabaunsee County, Kansas	Wabaunsee County	0	2	244	133	2208	1055	265	3330	6960	2280	0.901639344	0.098360656	0.004504505	0	36.7	0	Kansas		
Wallace County, Kansas	Wallace County	0	2	46	56	73	635	60	735	1585	111	1	0	0	0	31.5	0	Kansas		
Washington County, Kansas	Washington County	1	0	330	209	755	1865	180	2795	5615	943	0.957575758	0.042424242	0.001431127	0	16.1	0	Kansas		
Wichita County, Kansas	Wichita County	1	0	22	84	126	880	55	1010	2170	126	1	0	0	0	23.7	0	Kansas		
Wilson County, Kansas	Wilson County	2	0	209	218	1108	2940	140	4130	8955	1203	0.870813397	0.129186603	0.002421308	0	55.7	0	Kansas		
Woodson County, Kansas	Woodson County			143	80	628	850	85	1500	3185	640	0.909090909	0.090909091	0.002666667		22.2	0	Kansas		
Wyandotte County, Kansas	Wyandotte County	0	2	322	3038	22518	33130	1690	71475	161775	38340	0.97515528	0.02484472	0.013361315	0	80.1	12	Kansas	0	0
Adair County, Kentucky	Adair County	1	1	138	303	2971	4745	280	7895	19155	3144	0.992753623	0.007246377	0.002533249	0			Kentucky		
Allen County, Kentucky	Allen County			87	234	3358	4330	500	8220	20420	3890	0.942528736	0.057471264	0				Kentucky		
Anderson County, Kentucky	Anderson County	0	1	81	335	6626	3675	175	10345	21865	6673	0.950617284	0.049382716	0	0	17.6	0	Kentucky		
Ballard County, Kentucky	Ballard County			86	128	1882	1315	75	3375	8215	2056	0.918604651	0.081395349	0.020740741		13	13	Kentucky	4	0
Barren County, Kentucky	Barren County	1	5	146	865	4157	13875	1000	18335	43285	4438	0.979452055	0.020547945	0.003545132	0	18.5	0	Kentucky		
Bath County, Kentucky	Bath County			89	126	2623	1785	180	4430	12115	2652	0.966292135	0.033707865	0.002257336				Kentucky		
Bell County, Kentucky	Bell County	1	3	206	463	915	5915	255	7435	27675	1529	0.878640777	0.121359223	0.00268998	0	78	0	Kentucky		
Boone County, Kentucky	Boone County	0	4	129	3110	14310	35020	2555	62600	125655	27548	0.992248062	0.007751938	0.009265176	1	18.5	0	Kentucky	3	0
Bourbon County, Kentucky	Bourbon County	0	5	114	387	4051	4820	590	8935	20005	4109	0.964912281	0.035087719	0.005036374	0	29.1	0	Kentucky		
Boyd County, Kentucky	Boyd County	0	1	88	1242	2161	12555	365	18205	48715	5650	0.988636364	0.011363636	0.003790168	0	32.8	8.6	Kentucky	6	0
Boyle County, Kentucky	Boyle County	0	2	88	740	3570	8270	535	12095	29650	3817	0.954545455	0.045454545	0.000826788	0	12.8	0	Kentucky		
